first_player_current_score,second_player_current_score,current_score_difference,first_player_average_score,second_player_average_score,average_score_difference,first_player_rating,second_player_rating,rating_difference,first_player_number_of_bingos,second_player_number_of_bingos,first_player_average_number_of_bingos,second_player_average_number_of_bingos,number_of_tiles_left,first_player_number_of_turns,second_player_number_of_turns,progress,first_player_rack_blanks,second_player_rack_blanks,first_player_rack_value,second_player_rack_value,final_turn,actual_outcome,predicted_outcome,first_player_probability,second_player_probability
184,333,-149,7.36,13.875,-149,651,567,84,0,0,0,0,-19,25,24,-2.894737,0,0,5,13,false,false,false,0,1
233,289,-56,16.642857,22.230769,-56,727,820,-93,0,1,0,0.076923,4,14,13,8.75,0,0,12,15,false,false,false,0.001,0.999
29,36,-7,9.666667,12,-7,1636,1702,-66,0,0,0,0,85,3,3,0.341176,0,1,25,11,false,false,false,0.306,0.694
278,281,-3,21.384615,21.615385,-3,540,498,42,1,0,0.076923,0,9,13,13,5.111111,0,0,7,8,false,false,true,0.595,0.405
196,231,-35,19.6,25.666667,-35,1038,917,121,1,1,0.1,0.111111,33,10,9,1.060606,0,0,11,7,false,false,false,0.088,0.912
154,136,18,19.25,19.428571,18,796,800,-4,1,0,0.125,0,50,8,7,0.96,0,0,13,13,false,false,false,0.408,0.592
139,210,-71,13.9,23.333333,-71,837,844,-7,0,0,0,0,46,10,9,0.891304,1,1,6,10,false,false,false,0.006,0.994
14,27,-13,14,27,-13,342,263,79,0,0,0,0,94,1,1,0.361702,0,0,7,19,false,false,true,0.554,0.446
135,147,-12,16.875,21,-12,451,448,3,0,0,0,0,51,8,7,0.72549,0,1,12,19,false,false,false,0.106,0.894
83,110,-27,13.833333,22,-27,500,509,-9,0,0,0,0,62,6,5,0.66129,0,0,14,24,false,false,false,0.163,0.837
69,25,44,23,12.5,44,711,746,-35,0,0,0,0,84,3,2,0.452381,0,1,15,7,false,false,true,0.609,0.391
82,108,-26,16.4,21.6,-26,710,758,-48,0,0,0,0,68,5,5,0.544118,0,2,14,14,false,false,false,0,1
250,232,18,20.833333,19.333333,18,1093,1173,-80,0,0,0,0,25,12,12,1.72,2,0,5,14,false,false,true,0.934,0.066
35,29,6,17.5,29,6,620,698,-78,0,0,0,0,89,2,1,0.460674,0,0,19,16,false,false,false,0.161,0.839
49,55,-6,24.5,27.5,-6,1093,1173,-80,0,0,0,0,85,2,2,0.505882,0,0,19,15,false,false,false,0.48,0.52
64,45,19,21.333333,22.5,19,518,461,57,0,0,0,0,84,3,2,0.428571,0,0,11,12,false,false,true,0.771,0.229
281,364,-83,10.807692,14,-83,651,700,-49,0,0,0,0,-49,26,26,-1.142857,0,0,14,9,false,false,false,0,1
215,275,-60,15.357143,21.153846,-60,603,721,-118,0,0,0,0,18,14,13,2.388889,0,0,8,10,false,false,false,0.005,0.995
17,26,-9,8.5,13,-9,568,570,-2,0,0,0,0,87,2,2,0.425287,0,0,10,18,false,false,false,0.482,0.518
101,146,-45,14.428571,24.333333,-45,1161,1176,-15,0,1,0,0.166667,53,7,6,0.716981,0,0,10,10,false,false,false,0.268,0.732
16,12,4,16,12,4,306,361,-55,0,0,0,0,92,1,1,0.391304,0,1,7,7,false,false,false,0.156,0.844
100,136,-36,14.285714,19.428571,-36,278,1,277,0,0,0,0,44,7,7,0.840909,0,0,20,12,false,false,false,0.499,0.501
360,511,-151,32.727273,51.1,-151,1398,1431,-33,0,0,0,0,-3,11,10,-9.333333,0,0,8,21,false,false,false,0,1
299,370,-71,14.95,18.5,-71,1305,1307,-2,0,1,0,0.05,-28,20,20,-1.464286,0,1,1,3,false,false,false,0,1
239,301,-62,18.384615,23.153846,-62,1047,1253,-206,1,1,0.076923,0.076923,14,13,13,2.642857,1,0,10,15,false,false,false,0.031,0.969
88,191,-103,14.666667,38.2,-103,935,995,-60,0,1,0,0.2,62,6,5,0.629032,2,0,14,19,false,false,false,0.066,0.934
120,411,-291,8,27.4,-291,1164,1149,15,0,2,0,0.133333,28,15,15,1.678571,0,0,12,8,false,false,false,0,1
282,397,-115,13.428571,19.85,-115,1037,1016,21,1,0,0.047619,0,-10,21,20,-5.8,1,0,12,9,false,false,false,0,1
253,453,-200,19.461538,34.846154,-200,1368,1452,-84,1,2,0.076923,0.153846,7,13,13,4.571429,0,0,21,9,false,false,false,0,1
152,184,-32,16.888889,23,-32,1123,1062,61,0,0,0,0,40,9,8,1.1,0,0,18,20,false,false,false,0.282,0.718
55,84,-29,13.75,21,-29,1030,1014,16,0,0,0,0,77,4,4,0.428571,1,0,6,16,false,false,false,0.287,0.713
190,221,-31,21.111111,24.555556,-31,621,786,-165,0,0,0,0,21,9,9,1.428571,0,0,8,19,false,false,false,0.074,0.926
248,251,-3,27.555556,27.888889,-3,1167,1245,-78,1,0,0.111111,0,23,9,9,1.217391,1,0,8,11,false,false,true,0.505,0.495
314,319,-5,17.444444,17.722222,-5,1270,1261,9,1,0,0.055556,0,-8,18,18,-4.625,0,0,3,3,false,false,true,0.617,0.383
62,102,-40,20.666667,51,-40,732,868,-136,0,1,0,0.5,79,3,2,0.405063,0,0,7,12,false,false,false,0.266,0.734
34,10,24,17,10,24,758,904,-146,0,0,0,0,89,2,1,0.382022,1,0,12,10,false,false,false,0.239,0.761
216,279,-63,13.5,17.4375,-63,830,787,43,0,0,0,0,-8,16,16,-4.75,0,0,7,7,false,false,false,0.006,0.994
287,383,-96,31.888889,47.875,-96,1885,1908,-23,1,3,0.111111,0.375,8,9,8,2.875,0,0,12,19,false,false,false,0,1
158,188,-30,17.555556,20.888889,-30,1176,1211,-35,0,0,0,0,27,9,9,1.222222,0,0,9,10,false,false,false,0.263,0.737
180,130,50,20,14.444444,50,1065,948,117,0,0,0,0,46,9,9,0.847826,0,0,17,8,false,false,true,0.946,0.054
38,27,11,19,27,11,967,856,111,0,0,0,0,89,2,1,0.370787,0,0,16,22,false,false,false,0.494,0.506
299,397,-98,16.611111,22.055556,-98,1094,1159,-65,0,0,0,0,-21,18,18,-1.809524,0,0,1,1,false,false,false,0,1
156,193,-37,22.285714,27.571429,-37,1606,1593,13,0,0,0,0,51,7,7,0.568627,0,2,8,6,false,false,false,0.036,0.964
18,0,18,18,0,18,1537,1539,-2,0,0,0,0,97,1,0,0.350515,0,0,11,0,false,false,true,0.562,0.438
254,215,39,21.166667,17.916667,39,675,570,105,0,0,0,0,14,12,12,2.5,0,0,13,12,false,false,true,0.934,0.066
24,26,-2,24,26,-2,1232,1448,-216,0,0,0,0,92,1,1,0.380435,0,0,11,12,false,false,false,0.209,0.791
200,147,53,33.333333,29.4,53,1167,1245,-78,1,0,0.166667,0,50,6,5,0.56,0,1,10,13,false,false,false,0.418,0.582
68,192,-124,9.714286,27.428571,-124,1305,1307,-2,0,1,0,0.142857,54,7,7,0.759259,0,0,11,13,false,false,false,0.028,0.972
221,299,-78,15.785714,21.357143,-78,1580,1629,-49,0,1,0,0.071429,5,14,14,7.4,0,1,16,20,false,false,false,0,1
141,175,-34,20.142857,29.166667,-34,1305,1194,111,0,0,0,0,52,7,6,0.634615,0,0,14,7,false,false,false,0.153,0.847
244,308,-64,16.266667,22,-64,1159,1131,28,0,2,0,0.142857,4,15,14,9.25,0,0,10,24,false,false,false,0.001,0.999
86,60,26,43,30,26,801,679,122,1,0,0.5,0,83,2,2,0.349398,0,1,11,8,false,false,false,0.133,0.867
205,143,62,41,35.75,62,169,306,-137,2,1,0.4,0.25,51,5,4,0.607843,0,0,12,11,false,false,false,0.011,0.989
0,0,0,0,0,0,1473,1500,-27,0,0,0,0,100,1,1,0.39,0,0,16,7,false,false,true,0.529,0.471
198,281,-83,19.8,31.222222,-83,842,926,-84,0,0,0,0,21,10,9,1.428571,0,0,9,8,false,false,false,0.004,0.996
236,246,-10,13.882353,15.375,-10,999,1071,-72,0,0,0,0,-3,17,16,-13.333333,0,0,8,18,false,false,false,0.123,0.877
221,176,45,17,14.666667,45,897,996,-99,0,0,0,0,24,13,12,1.625,0,0,15,9,false,false,true,0.668,0.332
0,20,-20,0,20,-20,343,570,-227,0,0,0,0,95,1,1,0.378947,0,0,8,16,false,false,false,0.177,0.823
280,353,-73,14.736842,18.578947,-73,1064,1397,-333,0,2,0,0.105263,-6,19,19,-7.166667,1,1,9,11,false,false,false,0,1
263,324,-61,16.4375,21.6,-61,1078,1095,-17,1,1,0.0625,0.066667,-3,16,15,-12.333333,0,0,9,11,false,false,false,0,1
33,11,22,16.5,11,22,1047,1127,-80,0,0,0,0,87,2,1,0.310345,1,1,13,12,false,false,false,0.36,0.64
164,301,-137,20.5,37.625,-137,786,848,-62,0,1,0,0.125,44,8,8,0.704545,1,0,13,10,false,false,false,0.008,0.992
237,239,-2,23.7,26.555556,-2,801,679,122,1,0,0.1,0,22,10,9,1.318182,1,0,14,20,false,false,false,0.442,0.558
246,258,-12,13.666667,14.333333,-12,999,1071,-72,0,0,0,0,-13,18,18,-3.076923,0,0,6,9,false,false,true,0.737,0.263
329,365,-36,25.307692,30.416667,-36,1344,1208,136,1,1,0.076923,0.083333,7,13,12,4.285714,1,0,7,7,false,false,false,0.03,0.97
183,261,-78,22.875,37.285714,-78,1003,1004,-1,0,1,0,0.142857,45,8,7,0.777778,0,0,9,17,false,false,false,0.027,0.973
53,69,-16,17.666667,23,-16,1266,1339,-73,0,0,0,0,82,3,3,0.426829,0,0,8,18,false,false,false,0.178,0.822
245,357,-112,15.3125,22.3125,-112,342,263,79,0,0,0,0,-21,16,16,-1.619048,1,0,1,1,false,false,false,0.009,0.991
171,267,-96,9.5,14.833333,-96,818,826,-8,0,0,0,0,-1,18,18,-53,0,0,7,28,false,false,false,0,1
284,361,-77,18.933333,25.785714,-77,653,1004,-351,0,0,0,0,-6,15,14,-4.833333,0,0,16,4,true,false,false,0,1
165,146,19,33,36.5,19,1885,1908,-23,1,2,0.2,0.5,54,5,4,0.425926,0,0,11,12,false,false,true,0.835,0.165
195,199,-4,19.5,22.111111,-4,967,856,111,0,0,0,0,35,10,9,0.942857,0,0,20,19,false,false,true,0.51,0.49
195,238,-43,13.928571,18.307692,-43,518,414,104,0,1,0,0.076923,15,14,13,2.533333,0,0,13,13,false,false,false,0.122,0.878
30,35,-5,10,17.5,-5,530,683,-153,0,0,0,0,86,3,2,0.465116,0,0,8,10,false,false,false,0.176,0.824
284,324,-40,15.777778,19.058824,-40,500,509,-9,0,0,0,0,-11,18,17,-3.727273,0,1,7,6,false,false,false,0,1
146,232,-86,16.222222,25.777778,-86,1094,1159,-65,0,0,0,0,35,9,9,1.085714,1,0,15,11,false,false,false,0.045,0.955
197,286,-89,19.7,31.777778,-89,724,398,326,1,1,0.1,0.111111,39,10,9,1,1,0,9,8,false,false,false,0.039,0.961
312,336,-24,18.352941,19.764706,-24,356,498,-142,0,1,0,0.058824,-16,17,17,-2.1875,0,0,5,5,false,false,false,0.084,0.916
53,107,-54,10.6,21.4,-54,651,996,-345,0,0,0,0,66,5,5,0.681818,0,0,10,23,false,false,false,0.072,0.928
171,129,42,34.2,32.25,42,714,820,-106,1,0,0.2,0,67,5,4,0.462687,0,0,11,10,false,false,false,0.335,0.665
155,210,-55,22.142857,30,-55,1388,1366,22,0,1,0,0.142857,45,7,7,0.711111,0,0,12,19,false,false,false,0.184,0.816
266,341,-75,12.666667,16.238095,-75,813,698,115,1,0,0.047619,0,-23,21,21,-2.086957,0,0,2,6,false,false,false,0,1
267,356,-89,12.714286,16.952381,-89,714,892,-178,0,2,0,0.095238,-25,21,21,-1.68,0,0,6,3,true,false,false,0,1
69,64,5,17.25,21.333333,5,1040,1364,-324,0,0,0,0,74,4,3,0.486486,0,0,19,16,false,false,false,0.204,0.796
309,417,-108,18.176471,24.529412,-108,726,818,-92,0,1,0,0.058824,-16,17,17,-2.1875,0,0,5,2,false,false,false,0,1
267,260,7,22.25,23.636364,7,1397,1405,-8,1,0,0.083333,0,10,12,11,2.9,0,1,10,6,false,false,false,0.256,0.744
202,220,-18,18.363636,20,-18,206,346,-140,1,0,0.090909,0,22,11,11,1.954545,0,0,11,9,false,false,false,0.043,0.957
216,188,28,18,15.666667,28,1344,1314,30,0,1,0,0.083333,21,12,12,1.619048,0,1,10,16,false,false,true,0.669,0.331
19,60,-41,4.75,20,-41,1078,983,95,0,0,0,0,83,4,3,0.578313,1,0,8,9,false,false,false,0.275,0.725
250,197,53,25,21.888889,53,1093,1100,-7,2,0,0.2,0,34,10,9,0.911765,0,0,15,20,false,false,true,0.932,0.068
47,53,-6,11.75,13.25,-6,999,1165,-166,0,0,0,0,73,4,4,0.630137,0,0,15,13,false,false,false,0.184,0.816
181,207,-26,13.923077,15.923077,-26,995,965,30,0,0,0,0,19,13,13,2.105263,0,0,21,7,false,false,false,0.494,0.506
276,265,11,18.4,17.666667,11,1193,1220,-27,1,0,0.066667,0,1,15,15,43,0,0,24,15,false,false,true,0.657,0.343
227,258,-31,14.1875,16.125,-31,1182,1075,107,0,1,0,0.0625,-10,16,16,-3.9,0,1,15,15,false,false,false,0.002,0.998
16,0,16,16,0,16,925,1000,-75,0,0,0,0,96,1,0,0.458333,0,0,9,0,false,false,true,0.51,0.49
229,390,-161,12.722222,22.941176,-161,1075,1189,-114,0,0,0,0,-10,18,17,-4,0,0,4,8,false,false,false,0,1
135,139,-4,16.875,19.857143,-4,813,698,115,1,0,0.125,0,51,8,7,0.941176,0,1,7,12,false,false,false,0.201,0.799
96,94,2,16,18.8,2,1691,1510,181,0,0,0,0,62,6,5,0.483871,0,0,19,16,false,false,false,0.346,0.654
142,201,-59,23.666667,40.2,-59,1556,1616,-60,0,0,0,0,62,6,5,0.467742,0,2,10,10,false,false,false,0,1
69,96,-27,11.5,16,-27,1075,1189,-114,0,0,0,0,61,6,6,0.655738,0,0,13,14,false,false,false,0.076,0.924
116,126,-10,16.571429,21,-10,341,416,-75,0,0,0,0,61,7,6,0.639344,0,0,12,7,false,false,false,0.118,0.882
245,238,7,27.222222,29.75,7,1556,1513,43,0,0,0,0,32,9,8,0.96875,0,0,14,7,false,false,false,0.285,0.715
100,109,-9,14.285714,15.571429,-9,1278,1101,177,0,0,0,0,55,7,7,0.672727,1,0,6,11,false,false,true,0.53,0.47
126,172,-46,31.5,43,-46,1761,1770,-9,0,1,0,0.25,65,4,4,0.4,0,0,11,8,false,false,false,0.281,0.719
180,191,-11,20,23.875,-11,1210,1162,48,0,0,0,0,41,9,8,0.780488,0,0,10,16,false,false,false,0.257,0.743
256,279,-23,16,17.4375,-23,1123,1062,61,0,0,0,0,1,16,16,44,0,0,9,17,false,false,false,0.113,0.887
150,158,-8,18.75,19.75,-8,615,542,73,0,0,0,0,50,8,8,0.84,0,0,12,11,false,false,true,0.536,0.464
265,361,-96,18.928571,25.785714,-96,527,954,-427,0,1,0,0.071429,7,14,14,5,0,0,17,10,false,false,false,0,1
114,198,-84,19,33,-84,594,648,-54,1,1,0.166667,0.166667,53,6,6,0.754717,0,0,10,11,false,false,false,0.012,0.988
186,290,-104,16.909091,29,-104,1699,1803,-104,1,1,0.090909,0.1,40,11,10,0.875,0,0,10,18,false,false,false,0,1
39,47,-8,13,23.5,-8,342,263,79,0,0,0,0,82,3,2,0.414634,0,1,10,13,false,false,false,0.459,0.541
