"first_player_current_score","second_player_current_score","current_score_difference","first_player_average_score","second_player_average_score","average_score_difference","first_player_rating","second_player_rating","rating_difference","first_player_number_of_bingos","second_player_number_of_bingos","first_player_average_number_of_bingos","second_player_average_number_of_bingos","next_player","number_of_tiles_left","first_player_number_of_turns","second_player_number_of_turns","progress","first_player_rack_blanks","second_player_rack_blanks","first_player_rack_value","second_player_rack_value","final_turn","first_player_final_score","second_player_final_score","final_score_difference","actual_outcome","predicted_outcome","first_player_probability","second_player_probability"
190,288,-98,13.5714285714286,22.1538461538462,-98,542,605,-63,0,0,0,0,"first_player",8,14,13,4.5,0,0,8,9,"false",244,353,-109,"false","false",0.0168612645979102,0.98313873540209
198,301,-103,13.2,21.5,-103,542,605,-63,0,0,0,0,"first_player",2,15,14,18,0,0,8,10,"false",244,353,-109,"false","false",0.0127467271955199,0.98725327280448
198,328,-130,13.2,21.8666666666667,-130,542,605,-63,0,0,0,0,"second_player",-2,15,15,-18,0,0,8,10,"false",244,353,-109,"false","false",0.00900727578851757,0.990992724211482
220,339,-119,12.9411764705882,21.1875,-119,542,605,-63,0,0,0,0,"first_player",-11,17,16,-3.27272727272727,0,0,5,11,"false",244,353,-109,"false","false",0.00581749933568099,0.994182500664319
234,353,-119,13,19.6111111111111,-119,542,605,-63,0,0,0,0,"second_player",-18,18,18,-2,0,0,5,5,"true",244,353,-109,"false","false",0.015612030936851,0.984387969063149
18,4,14,18,4,14,1033,1037,-4,0,0,0,0,"second_player",91,1,1,0.494505494505495,0,0,7,7,"false",404,232,172,"true","true",0.652111976504829,0.347888023495171
28,4,24,14,4,24,1033,1037,-4,0,0,0,0,"first_player",87,2,1,0.517241379310345,0,0,10,7,"false",404,232,172,"true","true",0.611748562426108,0.388251437573892
90,18,72,22.5,4.5,72,1033,1037,-4,0,0,0,0,"second_player",74,4,4,0.608108108108108,0,0,13,8,"false",404,232,172,"true","true",0.937933852149712,0.0620661478502882
117,21,96,23.4,4.2,96,1033,1037,-4,0,0,0,0,"second_player",69,5,5,0.652173913043478,0,0,13,8,"false",404,232,172,"true","true",0.976524494117952,0.0234755058820477
142,21,121,23.6666666666667,4.2,121,1033,1037,-4,0,0,0,0,"first_player",66,6,5,0.681818181818182,0,0,11,8,"false",404,232,172,"true","true",0.98283215044929,0.0171678495507099
142,21,121,23.6666666666667,3.5,121,1033,1037,-4,0,0,0,0,"second_player",66,6,6,0.681818181818182,0,0,11,8,"false",404,232,172,"true","true",0.992333826771803,0.00766617322819707
183,123,60,20.3333333333333,13.6666666666667,60,1033,1037,-4,0,1,0,0.111111111111111,"second_player",40,9,9,1.125,0,0,26,10,"false",404,232,172,"true","true",0.933029317073111,0.0669706829268895
220,123,97,22,13.6666666666667,97,1033,1037,-4,0,1,0,0.111111111111111,"first_player",37,10,9,1.21621621621622,0,0,26,10,"false",404,232,172,"true","true",0.969357988760165,0.0306420112398355
220,139,81,22,13.9,81,1033,1037,-4,0,1,0,0.1,"second_player",35,10,10,1.28571428571429,0,0,26,10,"false",404,232,172,"true","true",0.969809567222738,0.0301904327772617
244,139,105,22.1818181818182,13.9,105,1033,1037,-4,0,1,0,0.1,"first_player",32,11,10,1.40625,0,0,22,10,"false",404,232,172,"true","true",0.975579580167277,0.0244204198327227
275,160,115,22.9166666666667,13.3333333333333,115,1033,1037,-4,0,1,0,0.0833333333333333,"second_player",22,12,12,2.04545454545455,0,0,18,9,"false",404,232,172,"true","true",0.992854122149276,0.00714587785072374
310,162,148,23.8461538461538,12.4615384615385,148,1033,1037,-4,0,1,0,0.0769230769230769,"second_player",16,13,13,2.8125,0,0,18,9,"false",404,232,172,"true","true",0.998929213593499,0.00107078640650138
325,189,136,23.2142857142857,13.5,136,1033,1037,-4,0,1,0,0.0714285714285714,"second_player",8,14,14,5.625,0,1,23,9,"false",404,232,172,"true","true",0.995913033988197,0.00408696601180303
361,191,170,22.5625,12.7333333333333,170,1033,1037,-4,0,1,0,0.0666666666666667,"first_player",1,16,15,45,0,1,18,12,"false",404,232,172,"true","true",0.997619716189158,0.0023802838108421
371,217,154,20.6111111111111,12.7647058823529,154,1033,1037,-4,0,1,0,0.0588235294117647,"first_player",-10,18,17,-4.5,1,1,12,9,"false",404,232,172,"true","true",0.997985937350538,0.0020140626494618
404,222,182,21.2631578947368,12.3333333333333,182,1033,1037,-4,0,1,0,0.0555555555555556,"first_player",-18,19,18,-2.5,0,1,2,5,"false",404,232,172,"true","true",0.998806767227136,0.00119323277286398
404,226,178,21.2631578947368,11.8947368421053,178,1033,1037,-4,0,1,0,0.0526315789473684,"second_player",-20,19,19,-2.25,0,1,2,2,"false",404,232,172,"true","true",0.999519733511002,0.000480266488997572
404,226,178,19.2380952380952,11.3,178,1033,1037,-4,0,1,0,0.05,"first_player",-20,21,20,-2.25,0,1,2,2,"false",404,232,172,"true","true",0.998358838114016,0.00164116188598395
23,27,-4,11.5,27,-4,226,361,-135,0,0,0,0,"first_player",89,2,1,0.49438202247191,0,1,11,6,"false",258,296,-38,"false","false",0.229219472614161,0.770780527385839
45,37,8,11.25,12.3333333333333,8,226,361,-135,0,0,0,0,"first_player",73,4,3,0.602739726027397,0,1,22,10,"false",258,296,-38,"false","false",0.379086936799156,0.620913063200844
65,68,-3,13,13.6,-3,226,361,-135,0,0,0,0,"second_player",62,5,5,0.709677419354839,0,0,16,14,"false",258,296,-38,"false","false",0.490556768758549,0.509443231241451
76,68,8,12.6666666666667,13.6,8,226,361,-135,0,0,0,0,"first_player",58,6,5,0.758620689655172,0,0,23,14,"false",258,296,-38,"false","false",0.475206718278284,0.524793281721716
76,82,-6,12.6666666666667,13.6666666666667,-6,226,361,-135,0,0,0,0,"second_player",55,6,6,0.8,0,0,23,13,"false",258,296,-38,"false","true",0.501328556108409,0.498671443891591
86,102,-16,12.2857142857143,14.5714285714286,-16,226,361,-135,0,0,0,0,"second_player",47,7,7,0.936170212765957,0,0,18,14,"false",258,296,-38,"false","false",0.409549937973173,0.590450062026827
86,102,-16,10.75,14.5714285714286,-16,226,361,-135,0,0,0,0,"first_player",47,8,7,0.936170212765957,0,0,16,14,"false",258,296,-38,"false","false",0.27971130374673,0.72028869625327
114,165,-51,11.4,18.3333333333333,-51,226,361,-135,0,0,0,0,"first_player",35,10,9,1.25714285714286,0,0,7,11,"false",258,296,-38,"false","false",0.0928165924715333,0.907183407528467
114,177,-63,11.4,17.7,-63,226,361,-135,0,0,0,0,"second_player",32,10,10,1.375,0,0,7,10,"false",258,296,-38,"false","false",0.112056123355858,0.887943876644142
122,177,-55,11.0909090909091,17.7,-55,226,361,-135,0,0,0,0,"first_player",28,11,10,1.57142857142857,0,0,8,10,"false",258,296,-38,"false","false",0.0860413355350367,0.913958664464963
122,193,-71,11.0909090909091,17.5454545454545,-71,226,361,-135,0,0,0,0,"second_player",23,11,11,1.91304347826087,0,0,8,7,"false",258,296,-38,"false","false",0.0953665139294444,0.904633486070556
160,202,-42,12.3076923076923,16.8333333333333,-42,226,361,-135,0,0,0,0,"first_player",13,13,12,3.38461538461538,0,0,9,8,"false",258,296,-38,"false","false",0.143258476941416,0.856741523058584
160,233,-73,12.3076923076923,17.9230769230769,-73,226,361,-135,0,0,0,0,"second_player",9,13,13,4.88888888888889,0,0,9,11,"false",258,296,-38,"false","false",0.0876814987327696,0.91231850126723
170,233,-63,12.1428571428571,17.9230769230769,-63,226,361,-135,0,0,0,0,"first_player",6,14,13,7.33333333333333,0,0,8,11,"false",258,296,-38,"false","false",0.0672804602127208,0.932719539787279
170,240,-70,12.1428571428571,17.1428571428571,-70,226,361,-135,0,0,0,0,"second_player",1,14,14,44,0,0,8,11,"false",258,296,-38,"false","false",0.0905390995507721,0.909460900449228
174,240,-66,11.6,17.1428571428571,-66,226,361,-135,0,0,0,0,"first_player",-2,15,14,-22,1,0,9,11,"false",258,296,-38,"false","false",0.122464144492198,0.877535855507802
174,252,-78,11.6,16.8,-78,226,361,-135,0,0,0,0,"second_player",-4,15,15,-11,1,0,9,9,"false",258,296,-38,"false","false",0.141877658992181,0.858122341007819
215,277,-62,12.6470588235294,16.2941176470588,-62,226,361,-135,0,0,0,0,"second_player",-18,17,17,-2.44444444444444,0,0,18,16,"false",258,296,-38,"false","false",0.148769822348006,0.851230177651994
259,294,-35,12.95,15.4736842105263,-35,226,361,-135,0,0,0,0,"first_player",-29,20,19,-1.51724137931034,0,0,1,7,"false",258,296,-38,"false","false",0.169739693362136,0.830260306637864
259,299,-40,12.95,14.95,-40,226,361,-135,0,0,0,0,"second_player",-31,20,20,-1.41935483870968,0,0,1,3,"false",258,296,-38,"false","false",0.242266758730804,0.757733241269196
16,0,16,16,0,16,804,988,-184,0,0,0,0,"first_player",95,1,0,0.347368421052632,0,0,10,0,"false",370,302,68,"true","false",0.493253634993166,0.506746365006834
16,28,-12,16,28,-12,804,988,-184,0,0,0,0,"second_player",92,1,1,0.358695652173913,0,0,10,12,"false",370,302,68,"true","false",0.308220794925097,0.691779205074903
30,28,2,15,28,2,804,988,-184,0,0,0,0,"first_player",89,2,1,0.370786516853933,0,0,7,12,"false",370,302,68,"true","false",0.278603394113076,0.721396605886924
36,43,-7,12,21.5,-7,804,988,-184,0,0,0,0,"first_player",82,3,2,0.402439024390244,1,0,6,19,"false",370,302,68,"true","false",0.322372579872567,0.677627420127433
36,64,-28,12,21.3333333333333,-28,804,988,-184,0,0,0,0,"second_player",78,3,3,0.423076923076923,1,0,6,29,"false",370,302,68,"true","false",0.272964151875617,0.727035848124383
97,90,7,24.25,22.5,7,804,988,-184,1,0,0.25,0,"second_player",69,4,4,0.478260869565217,0,0,11,26,"false",370,302,68,"true","false",0.390980561255655,0.609019438744345
143,115,28,23.8333333333333,23,28,804,988,-184,1,0,0.166666666666667,0,"first_player",57,6,5,0.578947368421053,0,0,12,19,"false",370,302,68,"true","false",0.472772034985988,0.527227965014012
143,132,11,23.8333333333333,22,11,804,988,-184,1,0,0.166666666666667,0,"second_player",55,6,6,0.6,0,0,12,19,"false",370,302,68,"true","false",0.473402149618187,0.526597850381813
165,132,33,23.5714285714286,22,33,804,988,-184,1,0,0.142857142857143,0,"first_player",49,7,6,0.673469387755102,0,0,13,19,"false",370,302,68,"true","true",0.528158413686715,0.471841586313285
165,132,33,23.5714285714286,18.8571428571429,33,804,988,-184,1,0,0.142857142857143,0,"second_player",49,7,7,0.673469387755102,0,0,13,19,"false",370,302,68,"true","true",0.653743168893339,0.346256831106661
181,144,37,22.625,18,37,804,988,-184,1,0,0.125,0,"second_player",42,8,8,0.785714285714286,0,0,12,26,"false",370,302,68,"true","true",0.667353441479874,0.332646558520126
200,144,56,22.2222222222222,18,56,804,988,-184,1,0,0.111111111111111,0,"first_player",39,9,8,0.846153846153846,0,0,10,26,"false",370,302,68,"true","true",0.677074702482251,0.322925297517749
200,155,45,22.2222222222222,17.2222222222222,45,804,988,-184,1,0,0.111111111111111,0,"second_player",37,9,9,0.891891891891892,0,0,10,17,"false",370,302,68,"true","true",0.73960357680371,0.26039642319629
212,155,57,21.2,17.2222222222222,57,804,988,-184,1,0,0.1,0,"first_player",33,10,9,1,0,0,8,17,"false",370,302,68,"true","true",0.706441030537307,0.293558969462693
226,208,18,20.5454545454545,18.9090909090909,18,804,988,-184,1,0,0.0909090909090909,0,"second_player",22,11,11,1.5,1,0,6,19,"false",370,302,68,"true","true",0.660730957894027,0.339269042105973
242,208,34,20.1666666666667,18.9090909090909,34,804,988,-184,1,0,0.0833333333333333,0,"first_player",18,12,11,1.83333333333333,1,0,6,19,"false",370,302,68,"true","true",0.657937250555369,0.342062749444631
266,237,29,20.4615384615385,19.75,29,804,988,-184,1,0,0.0769230769230769,0,"first_player",11,13,12,3,1,0,6,14,"false",370,302,68,"true","true",0.637968664714968,0.362031335285032
266,259,7,20.4615384615385,19.9230769230769,7,804,988,-184,1,0,0.0769230769230769,0,"second_player",8,13,13,4.125,1,0,6,12,"false",370,302,68,"true","true",0.60732254383067,0.39267745616933
340,274,66,24.2857142857143,19.5714285714286,66,804,988,-184,2,0,0.142857142857143,0,"second_player",-5,14,14,-6.6,0,0,11,4,"false",370,302,68,"true","true",0.892292470578677,0.107707529421323
355,284,71,23.6666666666667,18.9333333333333,71,804,988,-184,2,0,0.133333333333333,0,"second_player",-11,15,15,-3,0,0,7,3,"false",370,302,68,"true","true",0.905008215172134,0.0949917848278656
370,284,86,23.125,18.9333333333333,86,804,988,-184,2,0,0.125,0,"first_player",-14,16,15,-2.35714285714286,0,0,1,3,"false",370,302,68,"true","true",0.889023766065021,0.110976233934979
370,300,70,23.125,18.75,70,804,988,-184,2,0,0.125,0,"second_player",-17,16,16,-1.94117647058824,0,0,1,3,"false",370,302,68,"true","true",0.892961448569604,0.107038551430396
370,300,70,21.7647058823529,18.75,70,804,988,-184,2,0,0.117647058823529,0,"first_player",-17,17,16,-1.94117647058824,0,0,1,3,"true",370,302,68,"true","true",0.819194551784068,0.180805448215932
94,3,91,47,3,91,1237,1265,-28,1,0,0.5,0,"first_player",84,2,1,0.428571428571429,0,1,22,7,"false",353,380,-27,"false","true",0.877788402588966,0.122211597411034
110,73,37,36.6666666666667,24.3333333333333,37,1237,1265,-28,1,0,0.333333333333333,0,"second_player",70,3,3,0.514285714285714,0,0,22,19,"false",353,380,-27,"false","true",0.724983575907524,0.275016424092476
125,73,52,31.25,24.3333333333333,52,1237,1265,-28,1,0,0.25,0,"first_player",66,4,3,0.545454545454545,0,0,26,19,"false",353,380,-27,"false","true",0.741070651702958,0.258929348297042
125,115,10,31.25,28.75,10,1237,1265,-28,1,0,0.25,0,"second_player",61,4,4,0.590163934426229,0,0,26,10,"false",353,380,-27,"false","true",0.589849243188562,0.410150756811438
145,115,30,29,28.75,30,1237,1265,-28,1,0,0.2,0,"first_player",57,5,4,0.631578947368421,0,0,27,10,"false",353,380,-27,"false","true",0.628022806368564,0.371977193631436
145,133,12,29,26.6,12,1237,1265,-28,1,0,0.2,0,"second_player",54,5,5,0.666666666666667,0,0,27,11,"false",353,380,-27,"false","true",0.623927254960577,0.376072745039423
232,234,-2,23.2,26,-2,1237,1265,-28,1,0,0.1,0,"first_player",25,10,9,1.44,0,0,7,7,"false",353,380,-27,"false","false",0.361904843849614,0.638095156150386
232,250,-18,23.2,25,-18,1237,1265,-28,1,0,0.1,0,"second_player",20,10,10,1.8,0,0,7,14,"false",353,380,-27,"false","false",0.356777407165706,0.643222592834294
258,250,8,23.4545454545455,25,8,1237,1265,-28,1,0,0.0909090909090909,0,"first_player",15,11,10,2.4,0,0,7,14,"false",353,380,-27,"false","false",0.427848847679056,0.572151152320944
258,258,0,23.4545454545455,23.4545454545455,0,1237,1265,-28,1,0,0.0909090909090909,0,"second_player",11,11,11,3.27272727272727,0,0,7,19,"false",353,380,-27,"false","false",0.48707470702758,0.51292529297242
282,293,-11,21.6923076923077,24.4166666666667,-11,1237,1265,-28,1,0,0.0769230769230769,0,"first_player",2,13,12,18,0,0,7,13,"false",353,380,-27,"false","false",0.297343941025998,0.702656058974002
290,301,-11,20.7142857142857,23.1538461538462,-11,1237,1265,-28,1,0,0.0714285714285714,0,"first_player",-3,14,13,-12,0,0,7,13,"false",353,380,-27,"false","false",0.316042836834953,0.683957163165047
290,328,-38,20.7142857142857,23.4285714285714,-38,1237,1265,-28,1,0,0.0714285714285714,0,"second_player",-7,14,14,-5.14285714285714,0,0,7,13,"false",353,380,-27,"false","false",0.250816512858953,0.749183487141047
311,328,-17,20.7333333333333,23.4285714285714,-17,1237,1265,-28,1,0,0.0666666666666667,0,"first_player",-11,15,14,-3.27272727272727,0,0,9,13,"false",353,380,-27,"false","false",0.283666984125186,0.716333015874814
14,0,14,14,0,14,902,866,36,0,0,0,0,"first_player",94,1,0,0.340425531914894,0,0,7,0,"false",363,271,92,"true","true",0.580141643197926,0.419858356802074
14,12,2,14,12,2,902,866,36,0,0,0,0,"second_player",89,1,1,0.359550561797753,0,0,7,17,"false",363,271,92,"true","true",0.540773973424448,0.459226026575552
20,12,8,10,12,8,902,866,36,0,0,0,0,"first_player",84,2,1,0.380952380952381,0,0,12,17,"false",363,271,92,"true","false",0.478934162667989,0.521065837332011
20,60,-40,10,30,-40,902,866,36,0,0,0,0,"second_player",80,2,2,0.4,0,1,12,8,"false",363,271,92,"true","false",0.176907865888529,0.823092134111471
41,60,-19,13.6666666666667,30,-19,902,866,36,0,0,0,0,"first_player",77,3,2,0.415584415584416,0,1,16,8,"false",363,271,92,"true","false",0.210945779012793,0.789054220987207
41,86,-45,13.6666666666667,28.6666666666667,-45,902,866,36,0,0,0,0,"second_player",71,3,3,0.450704225352113,0,0,16,12,"false",363,271,92,"true","false",0.232851781358485,0.767148218641515
79,86,-7,19.75,28.6666666666667,-7,902,866,36,0,0,0,0,"first_player",69,4,3,0.463768115942029,0,0,11,12,"false",363,271,92,"true","false",0.353419427762648,0.646580572237352
79,100,-21,19.75,25,-21,902,866,36,0,0,0,0,"second_player",66,4,4,0.484848484848485,0,0,11,10,"false",363,271,92,"true","false",0.390431309888572,0.609568690111428
110,116,-6,22,23.2,-6,902,866,36,0,0,0,0,"second_player",59,5,5,0.542372881355932,0,0,13,7,"false",363,271,92,"true","true",0.526912815445965,0.473087184554035
153,126,27,21.8571428571429,21,27,902,866,36,0,0,0,0,"first_player",46,7,6,0.695652173913043,0,0,8,15,"false",363,271,92,"true","true",0.617874314240928,0.382125685759072
153,150,3,21.8571428571429,21.4285714285714,3,902,866,36,0,0,0,0,"second_player",43,7,7,0.744186046511628,0,0,8,9,"false",363,271,92,"true","true",0.583834650413115,0.416165349586885
186,177,9,23.25,22.125,9,902,866,36,0,0,0,0,"second_player",33,8,8,0.96969696969697,0,0,9,11,"false",363,271,92,"true","true",0.632306593814328,0.367693406185672
241,191,50,24.1,21.2222222222222,50,902,866,36,0,0,0,0,"first_player",22,10,9,1.45454545454545,0,0,21,8,"false",363,271,92,"true","true",0.826171117474818,0.173828882525182
241,206,35,24.1,20.6,35,902,866,36,0,0,0,0,"second_player",18,10,10,1.77777777777778,0,0,21,7,"false",363,271,92,"true","true",0.840471913499616,0.159528086500384
290,212,78,24.1666666666667,19.2727272727273,78,902,866,36,0,0,0,0,"first_player",5,12,11,6.4,1,0,11,7,"false",363,271,92,"true","true",0.958032627405822,0.0419673725941779
333,266,67,23.7857142857143,19,67,902,866,36,0,0,0,0,"second_player",-14,14,14,-2.28571428571429,0,0,9,5,"false",363,271,92,"true","true",0.941397332892434,0.0586026671075658
351,271,80,23.4,18.0666666666667,80,902,866,36,0,0,0,0,"second_player",-20,15,15,-1.6,0,0,1,4,"false",363,271,92,"true","true",0.959989651473643,0.0400103485263572
12,0,12,12,0,12,1439,1413,26,0,0,0,0,"first_player",96,1,0,0.375,0,0,19,0,"false",369,367,2,"true","true",0.5761124133707,0.4238875866293
12,12,0,12,12,0,1439,1413,26,0,0,0,0,"second_player",93,1,1,0.387096774193548,0,0,19,8,"false",369,367,2,"true","true",0.558709890949902,0.441290109050098
37,12,25,18.5,12,25,1439,1413,26,0,0,0,0,"first_player",90,2,1,0.4,0,0,13,8,"false",369,367,2,"true","true",0.603126442604033,0.396873557395967
52,27,25,17.3333333333333,13.5,25,1439,1413,26,0,0,0,0,"first_player",84,3,2,0.428571428571429,0,0,15,10,"false",369,367,2,"true","true",0.600315045154825,0.399684954845175
77,44,33,19.25,14.6666666666667,33,1439,1413,26,0,0,0,0,"first_player",79,4,3,0.455696202531646,0,0,22,8,"false",369,367,2,"true","true",0.683031876347914,0.316968123652086
77,52,25,19.25,13,25,1439,1413,26,0,0,0,0,"second_player",75,4,4,0.48,0,0,22,8,"false",369,367,2,"true","true",0.747237977630094,0.252762022369906
115,64,51,23,12.8,51,1439,1413,26,0,0,0,0,"second_player",67,5,5,0.537313432835821,0,0,18,7,"false",369,367,2,"true","true",0.8739601076584,0.1260398923416
136,64,72,22.6666666666667,12.8,72,1439,1413,26,0,0,0,0,"first_player",65,6,5,0.553846153846154,0,0,25,7,"false",369,367,2,"true","true",0.899176078024049,0.100823921975951
166,74,92,23.7142857142857,12.3333333333333,92,1439,1413,26,0,0,0,0,"first_player",60,7,6,0.6,0,0,20,7,"false",369,367,2,"true","true",0.945560755751907,0.0544392442480934
166,100,66,23.7142857142857,14.2857142857143,66,1439,1413,26,0,0,0,0,"second_player",57,7,7,0.631578947368421,0,0,20,11,"false",369,367,2,"true","true",0.91786006130824,0.0821399386917601
225,121,104,25,15.125,104,1439,1413,26,0,0,0,0,"first_player",48,9,8,0.75,1,0,14,11,"false",369,367,2,"true","true",0.97880492430878,0.0211950756912203
238,162,76,23.8,16.2,76,1439,1413,26,0,0,0,0,"second_player",37,10,10,0.972972972972973,1,0,16,12,"false",369,367,2,"true","true",0.967112792981084,0.0328872070189156
268,177,91,22.3333333333333,16.0909090909091,91,1439,1413,26,0,0,0,0,"first_player",29,12,11,1.24137931034483,1,0,12,9,"false",369,367,2,"true","true",0.962557071436028,0.0374429285639724
268,221,47,22.3333333333333,18.4166666666667,47,1439,1413,26,0,0,0,0,"second_player",23,12,12,1.56521739130435,1,0,12,7,"false",369,367,2,"true","true",0.901530782817162,0.0984692171828376
293,221,72,22.5384615384615,18.4166666666667,72,1439,1413,26,0,0,0,0,"first_player",20,13,12,1.8,1,0,13,7,"false",369,367,2,"true","true",0.926074910358769,0.0739250896412307
293,239,54,22.5384615384615,18.3846153846154,54,1439,1413,26,0,0,0,0,"second_player",16,13,13,2.25,1,0,13,7,"false",369,367,2,"true","true",0.92448387596724,0.0755161240327596
317,239,78,22.6428571428571,18.3846153846154,78,1439,1413,26,0,0,0,0,"first_player",11,14,13,3.27272727272727,1,0,12,7,"false",369,367,2,"true","true",0.941480676008888,0.0585193239911116
326,249,77,21.7333333333333,17.7857142857143,77,1439,1413,26,0,0,0,0,"first_player",6,15,14,6,1,1,11,6,"false",369,367,2,"true","true",0.902994377813407,0.0970056221865934
326,329,-3,21.7333333333333,21.9333333333333,-3,1439,1413,26,0,1,0,0.0666666666666667,"second_player",-1,15,15,-36,1,0,11,13,"false",369,367,2,"true","true",0.675149457550278,0.324850542449722
332,329,3,20.75,21.9333333333333,3,1439,1413,26,0,1,0,0.0666666666666667,"first_player",-4,16,15,-9,1,0,7,13,"false",369,367,2,"true","true",0.568913998007655,0.431086001992345
28,0,28,28,0,28,1115,1078,37,0,0,0,0,"first_player",94,1,0,0.361702127659574,0,0,26,0,"false",331,311,20,"true","true",0.747341462343177,0.252658537656823
28,2,26,28,2,26,1115,1078,37,0,0,0,0,"second_player",92,1,1,0.369565217391304,0,0,26,15,"false",331,311,20,"true","true",0.793196808715963,0.206803191284037
96,12,84,32,6,84,1115,1078,37,0,0,0,0,"first_player",81,3,2,0.419753086419753,0,0,16,15,"false",331,311,20,"true","true",0.930949255607222,0.0690507443927784
